,D,VT,VP,J,ID
0,1.4142135,True,True,0,0
1,3.6055512,True,True,1,0
2,6.0827627,True,True,2,0
3,2.828427,True,True,3,0
4,3.6055512,True,True,4,0
5,1.4142135,True,True,5,0
6,2.236068,True,True,0,1
7,2.236068,True,True,1,1
8,4.472136,True,True,2,1
9,7.0,True,True,3,1
10,7.2111025,True,True,4,1
11,5.656854,True,True,5,1
12,2.0,True,True,0,2
13,2.0,True,True,1,2
14,3.6055512,True,True,2,2
15,2.236068,True,True,3,2
16,2.0,True,True,4,2
17,123.81034,True,True,5,2
18,1.0,True,True,0,3
19,3.6055512,True,True,1,3
20,2.236068,True,True,2,3
21,2.236068,True,True,3,3
22,8.944272,True,True,4,3
23,12.0415945,True,True,5,3
24,3.0,True,True,0,4
25,2.236068,True,True,1,4
26,3.1622777,True,True,2,4
27,4.1231055,True,True,3,4
28,5.656854,True,True,4,4
29,10.29563,True,True,5,4
30,3.1622777,True,True,0,5
31,1.4142135,True,True,1,5
32,1.0,True,True,2,5
33,3.6055512,True,True,3,5
34,2.236068,True,True,4,5
35,2.828427,True,True,5,5
36,2.236068,True,True,0,6
37,3.1622777,True,True,1,6
38,3.1622777,True,True,2,6
39,0.0,True,True,3,6
40,3.1622777,True,True,4,6
41,3.0,True,True,5,6
42,1.0,True,True,0,7
43,4.1231055,True,True,1,7
44,1.4142135,True,True,2,7
45,4.1231055,True,True,3,7
46,4.472136,True,True,4,7
47,3.1622777,True,True,5,7
48,2.236068,True,True,0,8
49,2.0,True,True,1,8
50,3.6055512,True,True,2,8
51,8.5440035,True,True,3,8
52,3.6055512,True,True,4,8
53,5.0990195,True,True,5,8
54,1.0,True,True,0,9
55,5.0990195,True,True,1,9
56,3.6055512,True,True,2,9
57,3.0,True,True,3,9
58,2.828427,True,True,4,9
59,2.236068,True,True,5,9
60,1.0,True,True,0,10
61,1.4142135,True,True,1,10
62,,True,False,2,10
63,2.236068,True,True,3,10
64,5.8309517,True,True,4,10
65,3.6055512,True,True,5,10
66,1.4142135,True,True,0,11
67,1.0,True,True,1,11
