,D,VT,VP,J,ID
0,1.4142135,True,True,0,0
1,1.0,True,True,1,0
2,0.0,True,True,2,0
3,2.236068,True,True,3,0
4,2.236068,True,True,4,0
5,0.0,True,True,5,0
6,1.0,True,True,0,1
7,1.4142135,True,True,1,1
8,0.0,True,True,2,1
9,1.4142135,True,True,3,1
10,1.4142135,True,True,4,1
11,1.0,True,True,5,1
12,1.4142135,True,True,0,2
13,1.4142135,True,True,1,2
14,0.0,True,True,2,2
15,,False,False,3,2
16,,False,False,4,2
17,,False,False,5,2
18,0.0,True,True,0,3
19,0.0,True,True,1,3
20,2.236068,True,True,2,3
21,2.236068,True,True,3,3
22,1.4142135,True,True,4,3
23,1.0,True,True,5,3
24,0.0,True,True,0,4
25,1.0,True,True,1,4
26,0.0,True,True,2,4
27,1.0,True,True,3,4
28,3.0,True,True,4,4
29,1.0,True,True,5,4
30,2.0,True,True,0,5
31,1.4142135,True,True,1,5
32,1.0,True,True,2,5
33,3.0,True,True,3,5
34,0.0,True,True,4,5
35,1.4142135,True,True,5,5
36,0.0,True,True,0,6
37,0.0,True,True,1,6
38,2.236068,True,True,2,6
39,1.4142135,True,True,3,6
40,2.236068,True,True,4,6
41,0.0,True,True,5,6
42,0.0,True,True,0,7
43,1.4142135,True,True,1,7
44,1.4142135,True,True,2,7
45,6.0827627,True,True,3,7
46,4.1231055,True,True,4,7
47,2.828427,True,True,5,7
48,2.236068,True,True,0,8
49,0.0,True,True,1,8
50,1.0,True,True,2,8
51,1.4142135,True,True,3,8
52,2.236068,True,True,4,8
53,0.0,True,True,5,8
54,2.236068,True,True,0,9
55,1.0,True,True,1,9
56,2.236068,True,True,2,9
57,0.0,True,True,3,9
58,0.0,True,True,4,9
59,1.4142135,True,True,5,9
60,1.0,True,True,0,10
61,1.4142135,True,True,1,10
62,1.0,True,True,2,10
63,,False,False,3,10
64,,False,False,4,10
65,,False,False,5,10
66,1.0,True,True,0,11
67,1.0,True,True,1,11
68,1.4142135,True,True,2,11
69,2.0,True,True,3,11
70,2.0,True,True,4,11
71,1.0,True,True,5,11
72,0.0,True,True,0,12
73,1.0,True,True,1,12
74,2.236068,True,True,2,12
75,2.236068,True,True,3,12
76,2.0,True,True,4,12
77,1.4142135,True,True,5,12
78,2.0,True,True,0,13
79,1.0,True,True,1,13
80,1.0,True,True,2,13
81,,False,False,3,13
82,,False,False,4,13
83,,False,False,5,13
84,1.4142135,True,True,0,14
85,2.0,True,True,1,14
86,1.0,True,True,2,14
87,2.0,True,True,3,14
88,2.0,True,True,4,14
89,3.0,True,True,5,14
90,0.0,True,True,0,15
91,1.0,True,True,1,15
92,1.0,True,True,2,15
93,1.4142135,True,True,3,15
94,1.0,True,True,4,15
95,2.236068,True,True,5,15
96,1.4142135,True,True,0,16
97,1.4142135,True,True,1,16
98,1.0,True,True,2,16
99,1.4142135,True,True,3,16
100,3.1622777,True,True,4,16
101,1.4142135,True,True,5,16
102,0.0,True,True,0,17
103,0.0,True,True,1,17
104,1.4142135,True,True,2,17
105,4.0,True,True,3,17
106,0.0,True,True,4,17
107,3.0,True,True,5,17
108,1.0,True,True,0,18
109,1.0,True,True,1,18
110,1.4142135,True,True,2,18
111,1.0,True,True,3,18
112,2.236068,True,True,4,18
